# Copyright (c) 1966-2024 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2024-01-05
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr17	41523617	41528308	17q21.2	17q21.2	148020	KRT19	Keratin 19	KRT19	3880	ENSG00000171345			Krt19 (MGI:96693)
chr17	41549606	41554495	17q21.2	17q21.2	620053	LINC00974	Long intergenic noncoding RNA 974	LINC00974	147093	ENSG00000226629			
chr17	41565836	41572059	17q12-q21	17q21.2	607606	KRT9, EPPK1	Keratin 9	KRT9	3857	ENSG00000171403		Palmoplantar keratoderma, epidermolytic, 1, 144200 (3), Autosomal dominant	Krt9 (MGI:96696)
chr17	41582279	41586895	17q21.1	17q21.2	148066	KRT14, EBS1A, EBS1B, EBS1C, EBS1D	Keratin 14	KRT14	3861	ENSG00000186847		Epidermolysis bullosa simplex 1D, generalized, intermediate or severe, autosomal recessive, 601001 (3), Autosomal recessive; Epidermolysis bullosa simplex 1C, localized, 131800 (3), Autosomal dominant; Dermatopathia pigmentosa reticularis, 125595 (3), Autosomal dominant; Epidermolysis bullosa simplex 1A, generalized severe, 131760 (3), Autosomal dominant; Naegeli-Franceschetti-Jadassohn syndrome, 161000 (3), Autosomal dominant; Epidermolysis bullosa simplex 1B, generalized intermediate, 131900 (3), Autosomal dominant	Krt14 (MGI:96688)
chr17	41609778	41612767	17q12-q21	17q21.2	148067	KRT16, FNEPPK, PC1	Keratin 16	KRT16	3868	ENSG00000186832	probably 17q21-q22	Palmoplantar keratoderma, nonepidermolytic, focal, 613000 (3), Autosomal dominant; Pachyonychia congenita 1, 167200 (3), Autosomal dominant	Krt16 (MGI:96690)
chr17	41619442	41624575	17q12-q21	17q21.2	148069	KRT17, PC2, PCHC1	Keratin 17	KRT17	3872	ENSG00000128422	~5' to KRT16; probably 17q21-q22	Steatocystoma multiplex, 184500 (3), Autosomal dominant; Pachyonychia congenita 2, 167210 (3), Autosomal dominant	Krt17 (MGI:96691)
chr17	41688885	41692668	17q21.2	17q21.2	619901	EIF1, SUI1, A121	Eukaryotic translation initiation factor 1	EIF1	10209	ENSG00000173812			Eif1 (MGI:105125)
chr17	41712331	41715969	17q21	17q21.2	137250	GAST, GAS	Gastrin	GAST	2520	ENSG00000184502			Gast (MGI:104768)
chr17	41717739	41734646	17q21.2-q21.3	17q21.2	600947	HAP1, HLP, HAP2	Huntingtin-associated protein 1 (neuroan 1)	HAP1	9001	ENSG00000173805			Hap1 (MGI:1261831)
chr17	41754609	41786711	17q21	17q21.2	173325	JUP, DP3, PDGB, ARVD12	Junction plakoglobin	JUP	3728	ENSG00000173801	mutation identified in 1 ARVD12 family	Naxos disease, 601214 (3), Autosomal recessive; ?Arrhythmogenic right ventricular dysplasia 12, 611528 (3), Autosomal dominant	Jup (MGI:96650)
chr17	41801953	41811949	17q21.2	17q21.2	617419	P3H4, SC65, LEPREL4	Proyly 3-hydroxylase 4	P3H4	10609	ENSG00000141696			P3h4 (MGI:1913430)
chr17	41813004	41823213	17q21.2	17q21.2	607063	FKBP10, FKBP65, OI11, BRKS1	FK506-binding protein 10	FKBP10	60681	ENSG00000141756		Osteogenesis imperfecta, type XI, 610968 (3), Autosomal recessive; Bruck syndrome 1, 259450 (3), Autosomal recessive	Fkbp10 (MGI:104769)
chr17	41825057	41836232	17q21.2	17q21.2	620041	NT5C3B, NT5C3L, CNIIIL	5'-nucleotidase, cytosolic IIIb	NT5C3B	115024	ENSG00000141698			Nt5c3b (MGI:1915356)
chr17	41835685	41848384	17q21.2	17q21.2	608778	KLHL10, SPGF11	Kelch-like 10	KLHL10	317719	ENSG00000161594		Spermatogenic failure 11, 615081 (3), Autosomal dominant	Klhl10 (MGI:2181067)
chr17	41848518	41865423	17q21.2	17q21.2	619078	KLHL11	Kelch-like family, member 11	KLHL11	55175	ENSG00000178502			Klhl11 (MGI:2388648)
chr17	41866917	41930545	17q21.1	17q21.2	108728	ACLY	ATP citrate lyase	ACLY	47	ENSG00000131473			Acly (MGI:103251)
chr17	41930617	41966503	17q21.2	17q21.2	617095	ODAD4, TTC25, CILD35	Outer dynein arm docking complex subunit 4	ODAD4	83538	ENSG00000204815		Ciliary dyskinesia, primary, 35, 617092 (3), Autosomal recessive	Odad4 (MGI:1921657)
chr17	41966795	41977740	17q21	17q21.2	123830	CNP, CNP1, HLD20	2', 3' cyclic nucleotide 3' phosphohydrolase	CNP	1267	ENSG00000173786	mutation identified in 1 HLD20 family	?Leukodystrophy, hypomyelinating, 20, 619071 (3), Autosomal recessive	Cnp (MGI:88437)
chr17	41976435	42017439	17q11-q23	17q21.2	601964	DANJC7, TTC2, TPR2	DnaJ, E. coli, homolog of, subfamily C, member 7 (tetratricopeptide repeat domain 2)	DNAJC7	7266	ENSG00000168259			Dnajc7 (MGI:1928373)
chr17	42017576	42025641	17q21.1	17q21.2	604497	NKIRAS2, KBRAS2	NFKB inhibitor-interacting Ras-like protein 2	NKIRAS2	28511	ENSG00000168256			Nkiras2 (MGI:1919216)
chr17	42101411	42112714	17q21.2	17q21.2	608588	DHX58, LGP2, D11LGP2	DExH-box helicase 58	DHX58	79132	ENSG00000108771			Dhx58 (MGI:1931560)
chr17	42113111	42121367	17q21	17q21.2	602301	KAT2A, GCN5L2, GCN5	K(lysine) acetyltransferase 2A	KAT2A	2648	ENSG00000108773			Kat2a (MGI:1343101)
chr17	42122804	42123352	17q21.2	17q21.2	608344	HSPB9	Heat-shock 27kD protein 9	HSPB9	94086	ENSG00000260325			Hspb9 (MGI:1922732)
chr17	42124979	42154989	17q21.2	17q21.2	604037	RAB5C, RABL	Ras-associated protein RAB5c	RAB5C	5878	ENSG00000108774			Rab5c (MGI:105306)
chr17	42156891	42181142	17q21.2	17q21.2	604528	KCNH4, BEC2	Potassium channel, voltage-gated, subfamily H, member 4	KCNH4	23415	ENSG00000089558			Kcnh4 (MGI:2156184)
chr17	42184060	42185452	17q21	17q21.2	602358	HCRT, OX, NRCLP1	Hypocretin	HCRT	3060	ENSG00000161610	mutation identified in 1 NRCLP1 patient	?Narcolepsy 1, 161400 (3), Autosomal dominant	Hcrt (MGI:1202306)
chr17	42189087	42194494	17q21.2	17q21.2	608587	GHDC, LGP1	GH3 domain-containing protein	GHDC	84514	ENSG00000167925			Ghdc (MGI:1931556)
chr17	42199177	42288370	17q11.2	17q21.2	604260	STAT5B, GHISID2	Signal transducer and activator of transcription 5B	STAT5B	6777	ENSG00000173757	fused with RARA in PML	Growth hormone insensitivity with immune dysregulation 1, autosomal recessive, 245590 (3), Autosomal recessive; Growth hormone insensitivity with immune dysregulation 2, autosomal dominant, 618985 (3), Autosomal dominant; Leukemia, acute promyelocytic, somatic, 102578 (3)	Stat5b (MGI:103035)
chr17	42287439	42311943	17q21.2	17q21.2	601511	STAT5A, STAT5, MGF	Signal transducer and activator of transcription 5a	STAT5A	6776	ENSG00000126561			Stat5a (MGI:103036)
chr17	42313324	42388442	17q21	17q21.2	102582	STAT3, APRF, HIES, ADMIO1	Signal transducer and activator of transcription-3 (acute-phase response factor)	STAT3	6774	ENSG00000168610		Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections, 147060 (3), Autosomal dominant; Autoimmune disease, multisystem, infantile-onset, 1, 615952 (3), Autosomal dominant	Stat3 (MGI:103038)
chr17	42402449	42423256	17q21	17q21.2	603198	CAVIN1, PTRF	Caveolae-associated protein 1	CAVIN1	284119	ENSG00000177469		Lipodystrophy, congenital generalized, type 4, 613327 (3), Autosomal recessive	Cavin1 (MGI:1277968)
chr17	42458878	42522579	17q21	17q21.2	192130	ATP6V0A1, ATP6N1A, VPP1, DEE104, NEDEBA	ATPase, H+ transporting, V0 subunit A1	ATP6V0A1	535	ENSG00000033627		Neurodevelopmental disorder with epilepsy and brain atrophy, 619971 (3), Autosomal recessive; Developmental and epileptic encephalopathy 104, 619970 (3), Autosomal dominant	Atp6v0a1 (MGI:103286)
chr17	42536241	42544449	17q21	17q21.2	609701	NAGLU, MPS3B, CMT2V	N-acetylglucosaminidase, alpha-	NAGLU	4669	ENSG00000108784	mutation identified in 1 CMT2V family	?Charcot-Marie-Tooth disease, axonal, type 2V, 616491 (3), Autosomal dominant; Mucopolysaccharidosis type IIIB (Sanfilippo B), 252920 (3), Autosomal recessive	Naglu (MGI:1351641)
chr17	42552923	42555214	17q21.2	17q21.2	109684	HSD17B1, EDH17B2	Estradiol 17-beta-dehydrogenase-1	HSD17B1	3292	ENSG00000108786			Hsd17b1 (MGI:105077)
chr17	42562148	42566277	17q12-q21	17q21.2	609855	COASY, NBIA6, PCH12	Coenzyme A synthase	COASY	80347	ENSG00000068120		Pontocerebellar hypoplasia, type 12, 618266 (3), Autosomal recessive; Neurodegeneration with brain iron accumulation 6, 615643 (3), Autosomal recessive	Coasy (MGI:1918993)
chr17	42567100	42573203	17q21.1	17q21.2	602976	MLX, TCFL4	MAX-like protein X	MLX	6945	ENSG00000108788			Mlx (MGI:108398)
chr17	42572310	42577831	17q21.2	17q21.2	608665	PSMC3IP, TBPIP, GT198, HOP2, ODG3	PSMC3-interacting protein	PSMC3IP	29893	ENSG00000131470		Ovarian dysgenesis 3, 614324 (3), Autosomal recessive	Psmc3ip (MGI:1098610)
chr17	42579508	42609427	17q21.2	17q21.2	616498	FAM134C	Family with sequence similarity 134, member C	RETREG3	162427	ENSG00000141699			Retreg3 (MGI:1915248)
chr17	42609683	42615238	17q21	17q21.2	191135	TUBG1, CDCBM4	Tubulin, gamma 1	TUBG1	7283	ENSG00000131462		Cortical dysplasia, complex, with other brain malformations 4, 615412 (3), Autosomal dominant	Tubg1 (MGI:101834)
chr17	42659284	42667006	17q21	17q21.2	605785	TUBG2	Tubulin, gamma 2	TUBG2	27175	ENSG00000037042	pseudogene on chr. 7		Tubg2 (MGI:2144208)
chr17	42678889	42681843	17q21.2	17q21.2	600240	CCR10, GPR2	Chemokine (C-C) receptor 10	CCR10	2826	ENSG00000184451			Ccr10 (MGI:1096320)
chr17	42682531	42699993	17q21	17q21.2	602346	CNTNAP1, CASPR, P190, CHN3	Contactin-associated protein 1	CNTNAP1	8506	ENSG00000108797		Lethal congenital contracture syndrome 7, 616286 (3), Autosomal recessive; Hypomyelinating neuropathy, congenital, 3, 618186 (3), Autosomal recessive	Cntnap1 (MGI:1858201)
chr17	42700275	42745040	17q21.1-q21.3	17q21.2	601674	EZH1	Enhancer of zeste, Drosophila, homolog of, 1	EZH1	2145	ENSG00000108799			Ezh1 (MGI:1097695)
chr17	42761227	42763041	17q12-q21.1	17q21.2	605154	RAMP2	Receptor activity-modifying protein 2	RAMP2	10266	ENSG00000131477			Ramp2 (MGI:1859650)
chr17	42773449	42779599	17q21.3	17q21.2	610907	VPS25, FAP20	Vacuolar protein sorting 25 homolog	VPS25	84313	ENSG00000131475			Vps25 (MGI:106354)
chr17	42780610	42797066	17q21-q22	17q21.2	601844	WNK4, PRKWNK4, PHA2B	WNK lysine deficient protein kinase 4	WNK4	65266	ENSG00000126562		Pseudohypoaldosteronism, type IIB, 614491 (3), Autosomal dominant	Wnk4 (MGI:1917097)
chr17	42797625	42798704	17q21.31	17q21.2	614775	COA3, CCDC56, MC4DN14	Cytochrome c oxidase assembly factor 3	COA3	28958	ENSG00000183978	mutation identified in 1 MC4DN14 patient	?Mitochondrial complex IV deficiency, nuclear type 14, 619058 (3), Autosomal recessive	Coa3 (MGI:1098757)
chr17	42798785	42811587	17q21.2-q21.31	17q21.2-q21.31	618166	CNTD1, COSA1	Cyclin N-terminal domain-containing protein 1	CNTD1	124817	ENSG00000176563			Cntd1 (MGI:1923965)
chr17	42800001	46800000	17q21.31		613533	DUP17q21.31, C17DUPq21.31	Chromosome 17q21.31 duplication syndrome				contiguous gene duplication syndrome	Chromosome 17q21.31 duplication syndrome, 613533 (4)	
chr17	42800001	52100000	17q21.3		603279	ERDA1	Expanded repeat domain, CAG/CTG, 1	ERDA1	9030		no apparent pathology		
chr17	42800001	59500000	17q21.31-q22		615162	MRT35	Intellectual developmental disorder, autosomal recessive 35		101409266		between rs4792947 and rs11079258	Intellectual developmental disorder, autosomal recessive 35, 615162 (2), Autosomal recessive	
chr17	42800001	46800000	17q21.31		239100	VBCH	Van Buchem disease				52-kb deletion 35 kb downlstream of SOST	van Buchem disease, 239100 (4), Autosomal recessive	
chr17	42810132	42824282	17q21	17q21.31	604378	BECN1	Beclin 1	BECN1	8678	ENSG00000126581			Becn1 (MGI:1891828)
chr17	42833397	42843760	17q12-q21	17q21.31	605129	PSME3, PA28G	Proteasome activator subunit 3	PSME3	10197	ENSG00000131467			Psme3 (MGI:1096366)
chr17	42844580	42850707	17q21	17q21.31	602268	AOC2, RAO	Amine oxidase, copper-containing, 2	AOC2	314	ENSG00000131480			Aoc2 (MGI:2668431)
chr17	42851199	42858124	17q21	17q21.31	603735	AOC3, HPAO, VAP1	Amine oxidase, copper-containing 3	AOC3	8639	ENSG00000131471			Aoc3 (MGI:1306797)
chr17	42900799	42914438	17q21	17q21.31	613742	G6PC, G6PT	Glucose-6-phosphatase, catalytic	G6PC1	2538	ENSG00000131482		Glycogen storage disease Ia, 232200 (3), Autosomal recessive	G6pc1 (MGI:95607)
chr17	42950526	42964454	17q21.31	17q21.31	613212	AARSD1	Alanyl-tRNA synthetase domain-containing 1	AARSD1	80755	ENSG00000266967			Aarsd1 (MGI:1916934)
chr17	42980565	42995142	17q21.31	17q21.31	619250	RUNDC1, RUND1	RUN domain-containing protein 1	RUNDC1	146923	ENSG00000198863			Rundc1 (MGI:2144506)
chr17	42998273	43002959	17q21.1-q21.2	17q21.31	607526	RPL27, DBA16	Ribosomal protein L27	RPL27	6155	ENSG00000131469	mutation identified in 1 DBA16 patient	?Diamond-Blackfan anemia 16, 617408 (3), Autosomal dominant	Rpl27 (MGI:98036)
chr17	43006784	43014456	17q21	17q21.31	600735	IFI35	Interferon-induced protein-35	IFI35	3430	ENSG00000068079			Ifi35 (MGI:1917360)
chr17	43014607	43022385	17q21	17q21.31	604631	VAT1	Vesicle amine transport protein 1	VAT1	10493	ENSG00000108828			Vat1 (MGI:1349450)
chr17	43025231	43032041	17q21	17q21.31	601555	RND2, ARHN, RHO7	Ras homolog gene family, member N (GTP-binding protein Rho7)	RND2	8153	ENSG00000108830			Rnd2 (MGI:1338755)
chr17	43044295	43170327	17q21	17q21.31	113705	BRCA1, PSCP, BROVCA1, PNCA4, FANCS	BRCA1 DNA repair-associated protein	BRCA1	672	ENSG00000012048		Fanconi anemia, complementation group S, 617883 (3), Autosomal recessive; {Breast-ovarian cancer, familial, 1}, 604370 (3), Multifactorial, Autosomal dominant; {Pancreatic cancer, susceptibility to, 4}, 614320 (3)	Brca1 (MGI:104537)
chr17	43125557	43153671	17q21.31	17q21.31	618708	NBR2	Neighbor of BRCA1 gene 2, noncoding	NBR2	10230	ENSG00000198496	Head-to-head orientation with BRCA1		
chr17	43170409	43211688	17q21.1	17q21.31	166945	NBR1, M17S2	NBR1 autophagy cargo receptor	NBR1	4077	ENSG00000188554			Nbr1 (MGI:108498)
chr17	43233790	43233977	17q21-q22	17q21.31	180690	RNU2-1, RNU2	RNA, U2 small nuclear, 1	RNU2-1	6066	ENSG00000274585			
chr17	43398993	43401137	17q12-q21	17q21.31	600732	ARL4D, ARF4L	ADP ribosylation factor-like GTPase 4D	ARL4D	379	ENSG00000175906			Arl4d (MGI:1933155)
chr17	43483975	43544799	17q21.31	17q21.31	600396	DHX8, DDX8, HRH1	DEAH-box helicase 8	DHX8	1659	ENSG00000067596			Dhx8 (MGI:1306823)
chr17	43527846	43546340	17q21	17q21.31	600711	ETV4	ETS variant transcription factor 4	ETV4	2118	ENSG00000175832			Etv4 (MGI:99423)
chr17	43640389	43661922	17q21	17q21.31	600147	MEOX1, MOX1, KFS2	Mesenchyme homeobox 1	MEOX1	4222	ENSG00000005102		Klippel-Feil syndrome 2, 214300 (3), Autosomal recessive	Meox1 (MGI:103220)
chr17	43753738	43758791	17q12-q21	17q21.31	605740	SOST, VBCH, CDD, SOST1	Sclerostin	SOST	50964	ENSG00000167941		Sclerosteosis 1, 269500 (3), Autosomal recessive; Craniodiaphyseal dysplasia, autosomal dominant, 122860 (3), Autosomal dominant	Sost (MGI:1921749)
chr17	43766125	43778977	17q21	17q21.31	600183	DUSP3, VHR	Dual specificity phosphatase-3 (vaccinia virus phosphatase VH1-related)	DUSP3	1845	ENSG00000108861			Dusp3 (MGI:1919599)
chr17	43780435	43787620	17q21.31	17q21.31	619866	CFAP97D1	CFAP97 domain-containing protein 1	CFAP97D1	284067	ENSG00000231256			Cfap97d1 (MGI:1922687)
chr17	43800811	43833146	17q12-q21	17q21.31	601114	MPP3, DLG3	Membrane protein, palmitoylated-3 (MAGUK p55 subfamily member 3)	MPP3	4356	ENSG00000161647			Mpp3 (MGI:1328354)
chr17	43847176	43863639	17q21.31	17q21.31	610520	CD300LG, TREM4, CLM9	CD300 antigen-like family, member G	CD300LG	146894	ENSG00000161649			Cd300lg (MGI:1289168)
chr17	43875360	43909711	17q12-q21	17q21.31	600723	MPP2, DLG2	Membrane protein, palmitoylated-2 (MAGUK p55 subfamily member 2)	MPP2	4355	ENSG00000108852			Mpp2 (MGI:1858257)
chr17	43940804	43944215	17q12-q21	17q21.31	167780	PPY	Pancreatic polypeptide	PPY	5539	ENSG00000108849	in rat, close to GH		Ppy (MGI:97753)
chr17	43952733	44004445	17q21	17q21.31	600781	PYY	Peptide YY	PYY	5697	ENSG00000131096	10kb from PPY		Pyy (MGI:99924)
chr17	44004622	44009068	17q21.31	17q21.31	608300	NAGS	N-acetylglutamate synthase	NAGS	162417	ENSG00000161653		N-acetylglutamate synthase deficiency, 237310 (3), Autosomal recessive	Nags (MGI:2387600)
chr17	44034328	44067587	17q21.31	17q21.31	611793	LSM12	LSM12, S. cerevisiae, homolog of	LSM12	124801	ENSG00000161654			Lsm12 (MGI:1919592)
chr17	44070673	44076344	17q21	17q21.31	611045	G6PC3, UGRP, SCN4	Glucose-6-phosphatase, catalytic, 3	G6PC3	92579	ENSG00000141349		Dursun syndrome, 612541 (3), Autosomal recessive; Neutropenia, severe congenital 4, autosomal recessive, 612541 (3), Autosomal recessive	G6pc3 (MGI:1915651)
chr17	44076753	44123641	17q21	17q21.31	605315	HDAC5	Histone deacetylase 5	HDAC5	10014	ENSG00000108840			Hdac5 (MGI:1333784)
chr17	44141930	44162476	17q21.31	17q21.31	618611	HROB, MCM8IP, C17orf53	Homologous recombination factor with OB-fold	HROB	78995	ENSG00000125319			Hrob (MGI:2387601)
chr17	44170704	44179084	17q21.31	17q21.31	615056	ASB16	Ankyrin repeat- and SOCS box-containing protein 16	ASB16	92591	ENSG00000161664			Asb16 (MGI:2654437)
chr17	44191805	44199884	17q21.31	17q21.31	619010	ATXN7L3, SGF11	ATNX7-like 3	ATXN7L3	56970	ENSG00000087152			Atxn7l3 (MGI:3036270)
chr17	44205040	44221304	17q21.3	17q21.31	600673	UBTF, UBF, CONDBA	Upstream binding transcription factor, RNA polymerase I	UBTF	7343	ENSG00000108312		Neurodegeneration, childhood-onset, with brain atrophy, 617672 (3), Autosomal dominant	Ubtf (MGI:98512)
chr17	44226963	44230072	17q21-q22	17q21.31	600739	SHC1P2, SHCL1	SHC adaptor protein 1 pseudogene 2	SHC1P2	6466				
chr17	44248390	44268135	17q21-q22	17q21.31	109270	SLC4A1, AE1, EPB3, SPH4, SAO, CHC	Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	SLC4A1	6521	ENSG00000004939		[Blood group, Swann], 601550 (3); [Blood group, Wright], 112050 (3); Distal renal tubular acidosis 1, 179800 (3), Autosomal dominant; [Blood group, Waldner], 112010 (3); Spherocytosis, type 4, 612653 (3), Autosomal dominant; [Blood group, Froese], 601551 (3); Distal renal tubular acidosis 4 with hemolytic anemia, 611590 (3), Autosomal recessive; {Malaria, resistance to}, 611162 (3); Cryohydrocytosis, 185020 (3), Autosomal dominant; Ovalocytosis, SA type, 166900 (3), Autosomal dominant; [Blood group, Diego], 110500 (3)	Slc4a1 (MGI:109393)
chr17	44308601	44318670	17q21.3	17q21.31	605448	RUNDC3A, RPIP8	RUN domain contain 3A	RUNDC3A	10900	ENSG00000108309			Rundc3a (MGI:1858752)
chr17	44319628	44324823	17q21.31	17q21.31	610820	SLC25A39, CGI69	Solute carrier family 25, member 39	SLC25A39	51629	ENSG00000013306			Slc25a39 (MGI:1196386)
chr17	44345302	44353106	17q21.32	17q21.31	138945	GRN, CLN11	Granulin	GRN	2896	ENSG00000030582		Aphasia, primary progressive, 607485 (3), Autosomal dominant; Frontotemporal lobar degeneration with ubiquitin-positive inclusions, 607485 (3), Autosomal dominant; Ceroid lipofuscinosis, neuronal, 11, 614706 (3), Autosomal recessive	Grn (MGI:95832)
chr17	44372181	44389649	17q21.32	17q21.31	607759	ITGA2B, GP2B, CD41B, GT1, BDPLT2, BDPLT16	Integrin, alpha-2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)	ITGA2B	3674	ENSG00000005961	3' to GP3A; BAK platelet antigen	Thrombocytopenia, neonatal alloimmune, BAK antigen related (3); Glanzmann thrombasthenia 1, 273800 (3), Autosomal recessive; Bleeding disorder, platelet-type, 16, autosomal dominant, 187800 (3), Autosomal dominant	Itga2b (MGI:96601)
chr17	44395281	44503406	17q21.31	17q21.31	614396	GPATCH8, KIAA0553	G-patch domain-containing protein 8	GPATCH8	23131	ENSG00000186566			Gpatch8 (MGI:1918667)
chr17	44557484	44561262	17q21.1	17q21.31	600667	FZD2, OMOD2	Frizzled class receptor 2	FZD2	2535	ENSG00000180340		Omodysplasia 2, 164745 (3), Autosomal dominant	Fzd2 (MGI:1888513)
chr17	44656468	44677087	17q21.31	17q21.31	616934	MEIOC, C17orf104	Meiosis-specific protein with coiled-coil domain	MEIOC	284071	ENSG00000180336			Meioc (MGI:2686410)
chr17	44708665	44752264	17q21	17q21.31	611661	DBF4B, DRF1, ASKL1	DBF4, S. cerevisiae, homolog of, B	DBF4B	80174	ENSG00000161692			
chr17	44758988	44781846	17q21.3	17q21.31	155120	ADAM11, MDC	ADAM metallopeptidase domain 11	ADAM11	4185	ENSG00000073670			Adam11 (MGI:1098667)
chr17	44794104	44831364	17q21.31	17q21.31	608655	GJC1, GJA7, CX45	Gap junction protein, gamma-1	GJC1	10052	ENSG00000182963			Gjc1 (MGI:95718)
chr17	44844860	44850476	17q21.31	17q21.31	620420	HIGD1B	HIG1 hypoxia-inducible domain family, member 1B	HIGD1B	51751	ENSG00000131097			Higd1b (MGI:1922939)
chr17	44849948	44899445	17q21.31	17q21.31	603892	EFTUD2, KIAA0031, MFDGA	Elongation factor Tu GTP-binding domain-containing 2	EFTUD2	9343	ENSG00000108883		Mandibulofacial dysostosis, Guion-Almeida type, 610536 (3), Autosomal dominant	Eftud2 (MGI:1336880)
chr17	44899729	44905390	17q21.31	17q21.31	614677	CCDC103, SMH, PR46B, CILD17	Coiled-coil domain-containing protein 103	CCDC103	388389	ENSG00000167131		Ciliary dyskinesia, primary, 17, 614679 (3), Autosomal recessive	Ccdc103 (MGI:1920543)
chr17	44903159	44915500	17q21	17q21.31	137780	GFAP, ALXDRD	Glial fibrillary acidic protein	GFAP	2670	ENSG00000131095		Alexander disease, 203450 (3), Autosomal dominant	Gfap (MGI:95697)
chr17	44924711	44947773	17q21.31	17q21.31	614570	KIF18B	Kinesin family member 18B	KIF18B	146909	ENSG00000186185			Kif18b (MGI:2446979)
chr17	44959693	44968303	17q21	17q21.31	611586	C1QL1, CRF, C1QRF	Complement component 1, q subcomponent-like 1	C1QL1	10882	ENSG00000131094			C1ql1 (MGI:1344400)
chr17	45061317	45109016	17q21.31	17q21.31	160993	NMT1, NMT	N-myristoyltransferase 1	NMT1	4836	ENSG00000136448			Nmt1 (MGI:102579)
chr17	45108959	45132515	17q21.31	17q21.31	608795	PLCD3	Phospholipase C, delta-3	PLCD3	113026	ENSG00000161714			Plcd3 (MGI:107451)
chr17	45131597	45144176	17q21.31	17q21.31	619968	ACBD4	Acyl-CoA-binding domain-containing protein 4	ACBD4	79777	ENSG00000181513			Acbd4 (MGI:1914381)
chr17	45148475	45152099	Chr.17	17q21.31	607328	CLP1, HIS1	Cardiac lineage protein 1	HEXIM1	10614	ENSG00000186834			Hexim1 (MGI:2385923)
chr17	45160174	45170040	17q21.32	17q21.31	615695	HEXIM2	Hexamethylene bis acetamide-inducible protein 2	HEXIM2	124790	ENSG00000168517			Hexim2 (MGI:1918309)
chr17	45221885	45247318	17q21	17q21.31	604656	FMNL, C17orf1B	Formin-like	FMNL1	752	ENSG00000184922			Fmnl1 (MGI:1888994)
chr17	45263119	45317020	17q21	17q21.31	604655	MAP3K14, NIK, HSNIK, IMD112	Mitogen-activated protein kinase kinase kinase-14	MAP3K14	9020	ENSG00000006062		Immunodeficiency 112, 620449 (3), Autosomal recessive	Map3k14 (MGI:1858204)
chr17	45393908	45432870	17q21	17q21.31	610591	ARHGAP27, CAMGAP1	RHO GTPase-activating protein 27	ARHGAP27	201176	ENSG00000159314			Arhgap27 (MGI:1916903)
chr17	45434209	45490721	17q21.3	17q21.31	611466	PLEKHM1, AP162, KIAA0356, OPTB6, OPTA3	Pleckstrin homology domain-containing protein, family M, member 1	PLEKHM1	9842	ENSG00000225190	mutation identified in 1 OPTB6 family	?Osteopetrosis, autosomal recessive 6, 611497 (3), Autosomal recessive; Osteopetrosis, autosomal dominant 3, 618107 (3), Autosomal dominant	Plekhm1 (MGI:2443207)
chr17	45784320	45835828	17q12-q22	17q21.31	122561	CRHR1, CRHR	Corticotropin releasing hormone receptor 1	CRHR1	1394	ENSG00000120088			Crhr1 (MGI:88498)
chr17	45844881	45847067	17q21.31	17q21.31	608284	IMP5	Intramembrane protease 5	SPPL2C	162540	ENSG00000185294			Sppl2c (MGI:3045264)
chr17	45894554	46028334	17q21.1	17q21.31	157140	MAPT, MTBT1, DDPAC, MSTD	Microtubule-associated protein tau	MAPT	4137	ENSG00000186868	see 6p21	Supranuclear palsy, progressive, 601104 (3), Autosomal dominant; Supranuclear palsy, progressive atypical, 260540 (3), Autosomal recessive; Dementia, frontotemporal, with or without parkinsonism, 600274 (3), Autosomal dominant; {Parkinson disease, susceptibility to}, 168600 (3), Multifactorial, Autosomal dominant; Pick disease, 172700 (3), Autosomal dominant	Mapt (MGI:97180)
chr17	45999250	45999694	17q21.1	17q21.31	607067	STH	Saitohin	STH	246744	ENSG00000256762	in intron 9 of TAU		
chr17	46029916	46225367	17q21.31	17q21.31	612452	KANSL1, KIAA1267, MSL1V1, KDVS	KAT8 regulatory NSL complex subunit 1	KANSL1	284058	ENSG00000120071		Koolen-De Vries syndrome, 610443 (3), Autosomal dominant	Kansl1 (MGI:1923969)
chr17	46248044	46337794	17q21.31-q21.32	17q21.31	616555	LRRC37A	Leucine-rich repeat-containing protein 37A	LRRC37A	9884	ENSG00000176681			Lrrc37,Lrrc37a (MGI:2685097,MGI:2685730)
chr17	46372792	47049128	17q21.31-q21.32	17q21.31-q21.32	616556	LRRC37A2	Leucine-rich repeat-containing protein 37A2	LRRC37A2	474170	ENSG00000238083			Lrrc37,Lrrc37a (MGI:2685097,MGI:2685730)
chr17	46590669	46757464	17q21-q22	17q21.31	601633	NSF, DEE96	N-ethylmaleimide-sensitive factor	NSF	4905	ENSG00000073969		Developmental and epileptic encephalopathy 96, 619340 (3), Autosomal dominant	Nsf (MGI:104560)
